Japan;2000;1686567;1.34
Japan;1995;1381097;1.11
Japan;1990;1075626;0.88
Japan;1985;850775;0.88
Japan;1980;802422;0.88
Japan;1975;770342;0.88
Japan;1970;725139;0.88
Japan;1965;712854;0.88
Japan;1960;692651;0.88
Israel;2015;2011727;24.95
Israel;2010;1950615;26.29
Israel;2005;1889503;28.61
Israel;2000;1851309;30.78
Israel;1995;1792185;33.61
Israel;1990;1632704;36.29
Israel;1985;1522681;36.29
Israel;1980;1430985;36.29
Israel;1975;1446242;36.29
Israel;1970;1408744;36.29
Israel;1965;1291182;36.29
Israel;1960;1185573;36.29
Netherlands;2015;1979486;11.70
Netherlands;2010;1832510;11.02
Netherlands;2005;1736127;10.63
Netherlands;2000;1556337;9.79
Netherlands;1995;1346164;8.71
Netherlands;1990;1182263;7.93
Netherlands;1985;761421;7.93
Netherlands;1980;490976;7.93
Netherlands;1975;343752;7.93
Netherlands;1970;261402;7.93
Netherlands;1965;341683;7.93
Netherlands;1960;446620;7.93
Oman;2015;1844978;41.09
Oman;2010;816221;27.73
Oman;2005;666160;26.57
Oman;2000;623608;27.85
Oman;1995;539643;24.62
Oman;1990;304000;16.78
Oman;1985;282251;16.78
Oman;1980;146043;16.78
Oman;1975;75328;16.78
Oman;1970;62804;16.78
Oman;1965;52362;16.78
Oman;1960;43656;16.78
Qatar;2015;1687640;75.50
Qatar;2010;1456413;82.49
Qatar;2005;646026;77.19
Qatar;2000;359697;60.61
Qatar;1995;361673;72.19
Qatar;1990;309753;65.01
Qatar;1985;281907;65.01
Qatar;1980;165426;65.01
Qatar;1975;119182;65.01
Qatar;1970;68339;65.01
Qatar;1965;34091;65.01
Qatar;1960;14400;65.01
Sweden;2015;1639771;16.77
Sweden;2010;1384929;14.76
Sweden;2005;1125790;12.47
Sweden;2000;1003798;11.31
Sweden;1995;936022;10.60
Sweden;1990;788767;9.22
Sweden;1985;654158;9.22
Sweden;1980;624824;9.22
Sweden;1975;578054;9.22
Sweden;1970;527153;9.22
Sweden;1965;393687;9.22
Sweden;1960;295618;9.22
Austria;2015;1492374;17.47
Austria;2010;1275992;15.20
Austria;2005;1136270;13.80
Austria;2000;996547;12.38
Austria;1995;894893;11.22
Austria;1990;793239;10.29
Austria;1985;728326;10.29
Austria;1980;719958;10.29
Austria;1975;721037;10.29
Austria;1970;676679;10.29
