Country Code,,0
ABW,Country Name,Aruba
ABW,1990,23309.0205195563
ABW,1991,25020.5071656845
ABW,1992,25661.3190060198
ABW,1993,26529.2339559483
ABW,1994,27714.7166064816
ABW,1995,27707.4342303419
ABW,1996,27562.4596678167
ABW,1997,29222.894893298
ABW,1998,29509.8765861512
ABW,1999,29718.169823562
ABW,2000,32031.5554270993
ABW,2001,31062.3492934753
ABW,2002,29847.9283529006
ABW,2003,30355.732380247
ABW,2004,33053.2465349766
ABW,2005,34050.4715781236
ABW,2006,35167.1663623142
ABW,2007,36621.0351286655
ABW,2008,37249.4504595791
ABW,2009,33552.8898221987
ABW,2010,32624.2090942429
ABW,2011,34326.1448226739
ABW,2012,33569.1865005073
ABW,2013,36477.7793887055
ABW,2014,36444.2620573183
ABW,2015,36765.1160710175
ABW,2016,37359.3734383699
ABW,2017,38442.4138382323
AFG,Country Name,Afghanistan
AFG,2002,877.014423503263
AFG,2003,927.857547917432
AFG,2004,925.441616196776
AFG,2005,1023.05162974192
AFG,2006,1077.76190658441
AFG,2007,1228.70413531195
AFG,2008,1272.57320417194
AFG,2009,1519.69254818311
AFG,2010,1710.57564538432
AFG,2011,1699.48799733991
AFG,2012,1914.77435127371
AFG,2013,2015.51496204541
AFG,2014,2069.42464180385
AFG,2015,2087.30532306683
AFG,2016,1981.11246948904
AFG,2017,2058.3838315796
AFG,2018,2083.32189722387
AFG,2019,2156.41948202725
AGO,Country Name,Angola
AGO,1990,3281.3135735087
AGO,1991,3313.88875788553
AGO,1992,3088.53249989352
AGO,1993,2326.64530296358
AGO,1994,2331.70491551546
AGO,1995,2651.02028294565
AGO,1996,2968.24368662168
AGO,1997,3136.51670801063
AGO,1998,3215.10540973782
AGO,1999,3226.12854878707
AGO,2000,3289.41035208343
AGO,2001,3389.19696673566
AGO,2002,3785.15053816335
AGO,2003,3838.79462877094
AGO,2004,4225.46635014197
AGO,2005,4837.7103248494
AGO,2006,5362.02090732509
AGO,2007,6050.60968618101
AGO,2008,6607.29224335356
AGO,2009,6470.6735199461
AGO,2010,6587.98722101771
AGO,2011,6710.75034592031
AGO,2012,7412.96526317885
AGO,2013,7682.47715828865
AGO,2014,8179.29600657648
AGO,2015,7337.56955890673
AGO,2016,7103.22593805788
AGO,2017,7310.90173803536
AGO,2018,7102.40588709233
AGO,2019,6965.51137380329
ALB,Country Name,Albanie
ALB,1990,2548.84576399077
ALB,1991,1908.64433085802
ALB,1992,1822.85907646873
ALB,1993,2056.94345353532
ALB,1994,2289.30974799364
ALB,1995,2665.10903649849
ALB,1996,2979.3330899284
ALB,1997,2716.69355834805
ALB,1998,3020.93057263444
ALB,1999,3471.65635908955
ALB,2000,3862.48437763265
ALB,2001,4301.38282973192
ALB,2002,4661.37914319822
ALB,2003,4994.92469274671
ALB,2004,5423.20168382235
ALB,2005,5865.31759085604
ALB,2006,6557.80133674236
ALB,2007,7274.52468523841
ALB,2008,8228.32755984622
ALB,2009,8819.51009173416
ALB,2010,9636.10870469977
ALB,2011,10207.7335023376
ALB,2012,10526.3189737173
ALB,2013,10570.9681040326
ALB,2014,11259.2967004521
ALB,2015,11658.8660596051
ALB,2016,12078.8007284137
ALB,2017,12811.7594357276
ALB,2018,13974.0116065658
ALB,2019,14648.2674019058
AND,Country Name,Andorre
ARB,Country Name,Le monde arabe
ARB,1990,6851.92759090355
ARB,1991,7419.41125949477
ARB,1992,7821.20143644544
ARB,1993,8018.05826243803
ARB,1994,8212.07170344383
ARB,1995,8346.02871046232
ARB,1996,8682.87358494161
ARB,1997,8997.16460797649
ARB,1998,9400.64733051796
ARB,1999,9523.45775915847
ARB,2000,10043.7045853721
ARB,2001,10209.7958134118
ARB,2002,10200.9080982405
ARB,2003,10660.667974319
ARB,2004,11687.0683425983
ARB,2005,12445.0590435191
ARB,2006,13293.1328707845
ARB,2007,13918.9352881997
ARB,2008,14661.3781899372
ARB,2009,14527.2618871307
ARB,2010,15033.1685207891
ARB,2011,15512.9315797058
ARB,2012,16552.8429159962
ARB,2013,16510.0218285662
ARB,2014,16219.8001755189
ARB,2015,14618.6178012172
ARB,2016,14025.8309261325
ARB,2017,14562.3319574677
ARB,2018,14985.3158359547
ARB,2019,15256.3389958135
ARE,Country Name,Émirats arabes unis
ARE,1990,87226.539265433
ARE,1991,85847.3220068388
ARE,1992,85624.905810123
ARE,1993,83847.7035377422
ARE,1994,86706.2982363196
ARE,1995,89724.4893268496
ARE,1996,91943.1373649848
ARE,1997,96179.9722131052
ARE,1998,92627.8658909762
ARE,1999,91710.3909498003
ARE,2000,98363.731313815
ARE,2001,96722.5963740878
ARE,2002,95549.9701826708
ARE,2003,99238.3363410692
ARE,2004,101871.509406171
ARE,2005,97669.9936042722
ARE,2006,95678.2816433118
ARE,2007,87101.6830876905
ARE,2008,79730.9491122889
ARE,2009,68166.4444111404
ARE,2010,64881.8564596473
ARE,2011,67686.3929453288
ARE,2012,69102.4912887174
ARE,2013,70374.2200605325
ARE,2014,73619.1005840251
ARE,2015,64901.8520246431
ARE,2016,63968.853871334
ARE,2017,67183.6265568253
ARE,2018,68599.6181782301
ARE,2019,70089.3240378269
ARG,Country Name,Argentine
ARG,1990,7195.69144362769
ARG,1991,8005.4655573034
ARG,1992,8719.10168201752
ARG,1993,9532.88869650178
ARG,1994,10175.1251213101
ARG,1995,9969.60059832634
ARG,1996,10586.1105734027
ARG,1997,11507.8983190072
ARG,1998,11949.4160090803
ARG,1999,11581.8905138092
ARG,2000,11618.7960699385
ARG,2001,11226.8773364026
